מפעל,רכיב עלות,סוג תמחיר,מרכז עבודה,תאריך עדכון, עלות לסוג תמחיר 1 , עלות לסוג תמחיר 5 , עלות לסוג תמחיר 6 ,עלות לסוג תמחיר 7,מחלקה,,,
100,B09,5,WCUSW04,, -   , 25.84 ,,,אוטומטית דלתון,,,
100,B11,1,WC411,, 73.65 , -   ,,,אוטומטית דלתון,,,
100,B11,1,WC412,, 73.65 , -   ,,,אוטומטית דלתון,,,
100,B11,1,WC413,, 73.65 , -   ,,,אוטומטית דלתון,,,
100,B11,1,WC450,, 73.65 , -   ,,,אוטומטית דלתון,,,
100,B11,1,WC500,, 73.65 , -   ,,,אוטומטית דלתון,,,
100,B11,1,WC512,, 73.65 , -   ,,,אוטומטית דלתון,,,
100,B11,1,WC525,, 73.65 , -   ,,,אוטומטית דלתון,,,
100,B11,1,WC709,, 73.65 , -   ,,,הרכבה 3,,,
100,B11,1,WC752,, 73.65 , -   ,,,אוטומטית דלתון,,,
100,B11,1,WC777,, 73.65 , -   ,,,אוטומטית דלתון,,,
100,B11,1,WC790,, 73.65 , -   ,,,אוטומטית דלתון,,,
100,B11,1,WCASS204,, 73.65 , -   ,,,אוטומטית דלתון,,,
100,B11,1,WCASS209,, 73.65 , -   ,,,אוטומטית דלתון,,,
100,B11,1,WCASS215,, 73.65 , -   ,,,אוטומטית דלתון,,,
100,B11,1,WCASS223,, 73.65 , -   ,,,אוטומטית דלתון,,,
100,B11,1,WCASS224,, 73.65 , -   ,,,אוטומטית דלתון,,,
100,B11,1,WCASS702,, 73.65 , -   ,,,אוטומטית דלתון,,,
100,B11,1,WCASS703,, 73.65 , -   ,,,אוטומטית דלתון,,,
100,B11,1,WCMO01,, 73.65 , -   ,,,אוטומטית דלתון,,,
100,B11,1,WCUSW04,, 73.65 , -   ,,,אוטומטית דלתון,,,
100,B11,5,WC411,, -   , 22.66 ,,,אוטומטית דלתון,,,
100,B11,5,WC412,, -   , 22.66 ,,,אוטומטית דלתון,,,
100,B11,5,WC413,, -   , 22.66 ,,,אוטומטית דלתון,,,
100,B11,5,WC450,, -   , 22.66 ,,,אוטומטית דלתון,,,
100,B11,5,WC500,, -   , 22.66 ,,,אוטומטית דלתון,,,
100,B11,5,WC512,, -   , 22.66 ,,,אוטומטית דלתון,,,
100,B11,5,WC525,, -   , 22.66 ,,,אוטומטית דלתון,,,
